Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-15T00:00+02:00;2022-05-16T00:00+02:00;2022-05-15;Totalt i retning Nova;28;100,0;24;24;0;28;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-15T00:00+02:00;2022-05-16T00:00+02:00;2022-05-15;Totalt i retning Pyramiden;20;100,0;24;24;0;20;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-15T00:00+02:00;2022-05-16T00:00+02:00;2022-05-15;Totalt;48;100,0;24;24;0;48;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-16T00:00+02:00;2022-05-17T00:00+02:00;2022-05-16;1;74;100,0;24;24;0;74;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-16T00:00+02:00;2022-05-17T00:00+02:00;2022-05-16;2;45;100,0;24;24;0;45;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-16T00:00+02:00;2022-05-17T00:00+02:00;2022-05-16;Totalt i retning Nova;45;100,0;24;24;0;45;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-16T00:00+02:00;2022-05-17T00:00+02:00;2022-05-16;Totalt i retning Pyramiden;74;100,0;24;24;0;74;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-16T00:00+02:00;2022-05-17T00:00+02:00;2022-05-16;Totalt;119;100,0;24;24;0;119;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-17T00:00+02:00;2022-05-18T00:00+02:00;2022-05-17;1;10;100,0;24;24;0;10;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-17T00:00+02:00;2022-05-18T00:00+02:00;2022-05-17;2;7;100,0;24;24;0;7;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-17T00:00+02:00;2022-05-18T00:00+02:00;2022-05-17;Totalt i retning Nova;7;100,0;24;24;0;7;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-17T00:00+02:00;2022-05-18T00:00+02:00;2022-05-17;Totalt i retning Pyramiden;10;100,0;24;24;0;10;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-17T00:00+02:00;2022-05-18T00:00+02:00;2022-05-17;Totalt;17;100,0;24;24;0;17;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-18T00:00+02:00;2022-05-19T00:00+02:00;2022-05-18;1;101;100,0;24;24;0;101;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-18T00:00+02:00;2022-05-19T00:00+02:00;2022-05-18;2;75;100,0;24;24;0;75;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-18T00:00+02:00;2022-05-19T00:00+02:00;2022-05-18;Totalt i retning Nova;75;100,0;24;24;0;75;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-18T00:00+02:00;2022-05-19T00:00+02:00;2022-05-18;Totalt i retning Pyramiden;101;100,0;24;24;0;101;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-18T00:00+02:00;2022-05-19T00:00+02:00;2022-05-18;Totalt;176;100,0;24;24;0;176;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-19T00:00+02:00;2022-05-20T00:00+02:00;2022-05-19;1;103;100,0;24;24;0;103;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-19T00:00+02:00;2022-05-20T00:00+02:00;2022-05-19;2;77;100,0;24;24;0;77;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-19T00:00+02:00;2022-05-20T00:00+02:00;2022-05-19;Totalt i retning Nova;77;100,0;24;24;0;77;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-19T00:00+02:00;2022-05-20T00:00+02:00;2022-05-19;Totalt i retning Pyramiden;103;100,0;24;24;0;103;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-19T00:00+02:00;2022-05-20T00:00+02:00;2022-05-19;Totalt;180;100,0;24;24;0;180;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-20T00:00+02:00;2022-05-21T00:00+02:00;2022-05-20;1;94;100,0;24;24;0;94;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-20T00:00+02:00;2022-05-21T00:00+02:00;2022-05-20;2;75;100,0;24;24;0;75;0,00;-;-;-;-;-;-;-;-
